Year,MexState,CommodityGroup,Mode,TradeType,TradeValue,Weight,WeightLb
1994,Aguascalientes,Animal or Vegetable Fats & Oils,Truck,Export,80125.0,,
1994,Aguascalientes,Arms & Ammunition,Truck,Export,5818.0,,
1994,Aguascalientes,Base Metals & Articles,Rail,Export,182996.0,,
1994,Aguascalientes,Base Metals & Articles,Truck,Export,17987535.0,,
1994,Aguascalientes,Chemical Products,Rail,Export,41946.0,,
1994,Aguascalientes,Chemical Products,Truck,Export,1318667.0,,
1994,Aguascalientes,"Foodstuffs, Beverages & Tobacco",Rail,Export,2422834.0,,
1994,Aguascalientes,"Foodstuffs, Beverages & Tobacco",Truck,Export,1520637.0,,
1994,Aguascalientes,"Footwear, Headgear & Umbrellas",Truck,Export,101638.0,,
1994,Aguascalientes,Live Animals & Animal Products,Truck,Export,10281547.0,,
1994,Aguascalientes,Machinery & Electrical Equipment,Other/Unknown,Export,69660.0,,
1994,Aguascalientes,Machinery & Electrical Equipment,Rail,Export,206819.0,,
1994,Aguascalientes,Machinery & Electrical Equipment,Truck,Export,87097091.0,,
1994,Aguascalientes,Mineral Products,Rail,Export,2886.0,,
1994,Aguascalientes,Mineral Products,Truck,Export,290176.0,,
1994,Aguascalientes,Miscellaneous Manufactured Articles,Rail,Export,29350.0,,
1994,Aguascalientes,Miscellaneous Manufactured Articles,Truck,Export,5397452.0,,
1994,Aguascalientes,"Optical, Medical & Precision Instruments",Truck,Export,23802884.0,,
1994,Aguascalientes,Plastics & Rubber,Other/Unknown,Export,8308.0,,
1994,Aguascalientes,Plastics & Rubber,Rail,Export,254273.0,,
1994,Aguascalientes,Plastics & Rubber,Truck,Export,14132736.0,,
1994,Aguascalientes,Precious Metals & Stones,Truck,Export,28127.0,,
1994,Aguascalientes,"Pulp, Paper & Paperboard",Other/Unknown,Export,2660.0,,
1994,Aguascalientes,"Pulp, Paper & Paperboard",Rail,Export,4032.0,,
1994,Aguascalientes,"Pulp, Paper & Paperboard",Truck,Export,2254378.0,,
1994,Aguascalientes,"Raw Hides, Skins & Leather",Truck,Export,260999.0,,
1994,Aguascalientes,Special Classification Provisions,Rail,Export,6856.0,,
1994,Aguascalientes,Special Classification Provisions,Truck,Export,1753357.0,,
1994,Aguascalientes,"Stone, Ceramic & Glass Products",Rail,Export,76128.0,,
1994,Aguascalientes,"Stone, Ceramic & Glass Products",Truck,Export,2847582.0,,
1994,Aguascalientes,Textiles & Apparel,Rail,Export,483244.0,,
1994,Aguascalientes,Textiles & Apparel,Truck,Export,72611017.0,,
1994,Aguascalientes,Transportation Equipment,Rail,Export,81552.0,,
1994,Aguascalientes,Transportation Equipment,Truck,Export,83243095.0,,
1994,Aguascalientes,Vegetable Products,Other/Unknown,Export,568644.0,,
1994,Aguascalientes,Vegetable Products,Rail,Export,5550370.0,,
1994,Aguascalientes,Vegetable Products,Truck,Export,5144501.0,,
1994,Aguascalientes,Wood & Wood Products,Truck,Export,944825.0,,
1994,Baja California,Animal or Vegetable Fats & Oils,Mail (U.S. Postal Service),Export,4455.0,,
1994,Baja California,Animal or Vegetable Fats & Oils,Other/Unknown,Export,100910.0,,
1994,Baja California,Animal or Vegetable Fats & Oils,Rail,Export,13771329.0,,
1994,Baja California,Animal or Vegetable Fats & Oils,Truck,Export,15999862.0,,
1994,Baja California,Arms & Ammunition,Truck,Export,20618.0,,
1994,Baja California,Base Metals & Articles,Mail (U.S. Postal Service),Export,28786.0,,
1994,Baja California,Base Metals & Articles,Other/Unknown,Export,735208.0,,
1994,Baja California,Base Metals & Articles,Pipeline,Export,46627.0,,
1994,Baja California,Base Metals & Articles,Rail,Export,6364248.0,,
1994,Baja California,Base Metals & Articles,Truck,Export,633471645.0,,
1994,Baja California,Chemical Products,Mail (U.S. Postal Service),Export,19219.0,,
1994,Baja California,Chemical Products,Other/Unknown,Export,357686.0,,
1994,Baja California,Chemical Products,Rail,Export,3333098.0,,
1994,Baja California,Chemical Products,Truck,Export,177858478.0,,
1994,Baja California,"Foodstuffs, Beverages & Tobacco",Other/Unknown,Export,3802341.0,,
1994,Baja California,"Foodstuffs, Beverages & Tobacco",Pipeline,Export,46462.0,,
1994,Baja California,"Foodstuffs, Beverages & Tobacco",Rail,Export,4314706.0,,
1994,Baja California,"Foodstuffs, Beverages & Tobacco",Truck,Export,127508128.0,,
1994,Baja California,"Footwear, Headgear & Umbrellas",Truck,Export,10908157.0,,
1994,Baja California,Live Animals & Animal Products,Other/Unknown,Export,223367.0,,
1994,Baja California,Live Animals & Animal Products,Rail,Export,1449995.0,,
1994,Baja California,Live Animals & Animal Products,Truck,Export,153442924.0,,
1994,Baja California,Machinery & Electrical Equipment,Mail (U.S. Postal Service),Export,7650297.0,,
1994,Baja California,Machinery & Electrical Equipment,Other/Unknown,Export,2046641.0,,
1994,Baja California,Machinery & Electrical Equipment,Rail,Export,4024756.0,,
1994,Baja California,Machinery & Electrical Equipment,Truck,Export,3153457569.0,,
1994,Baja California,Mineral Products,Other/Unknown,Export,3434086.0,,
1994,Baja California,Mineral Products,Pipeline,Export,6222.0,,
1994,Baja California,Mineral Products,Rail,Export,2984589.0,,
1994,Baja California,Mineral Products,Truck,Export,38328964.0,,
1994,Baja California,Miscellaneous Manufactured Articles,Other/Unknown,Export,1457377.0,,
1994,Baja California,Miscellaneous Manufactured Articles,Rail,Export,620490.0,,
1994,Baja California,Miscellaneous Manufactured Articles,Truck,Export,333367450.0,,
1994,Baja California,"Optical, Medical & Precision Instruments",Other/Unknown,Export,44444.0,,
1994,Baja California,"Optical, Medical & Precision Instruments",Rail,Export,172319.0,,
1994,Baja California,"Optical, Medical & Precision Instruments",Truck,Export,239238623.0,,
1994,Baja California,Plastics & Rubber,Mail (U.S. Postal Service),Export,20286.0,,
1994,Baja California,Plastics & Rubber,Other/Unknown,Export,662198.0,,
1994,Baja California,Plastics & Rubber,Pipeline,Export,42779.0,,
1994,Baja California,Plastics & Rubber,Rail,Export,2478346.0,,
1994,Baja California,Plastics & Rubber,Truck,Export,686150943.0,,
1994,Baja California,Precious Metals & Stones,Rail,Export,140000.0,,
1994,Baja California,Precious Metals & Stones,Truck,Export,28799582.0,,
1994,Baja California,"Pulp, Paper & Paperboard",Mail (U.S. Postal Service),Export,8876.0,,
1994,Baja California,"Pulp, Paper & Paperboard",Other/Unknown,Export,356881.0,,
1994,Baja California,"Pulp, Paper & Paperboard",Pipeline,Export,4820.0,,
1994,Baja California,"Pulp, Paper & Paperboard",Rail,Export,2658987.0,,
1994,Baja California,"Pulp, Paper & Paperboard",Truck,Export,306067185.0,,
1994,Baja California,"Raw Hides, Skins & Leather",Rail,Export,9461.0,,
1994,Baja California,"Raw Hides, Skins & Leather",Truck,Export,13085812.0,,
1994,Baja California,Special Classification Provisions,Other/Unknown,Export,16596.0,,
1994,Baja California,Special Classification Provisions,Rail,Export,162263.0,,
1994,Baja California,Special Classification Provisions,Truck,Export,41094618.0,,
1994,Baja California,"Stone, Ceramic & Glass Products",Other/Unknown,Export,110376.0,,
1994,Baja California,"Stone, Ceramic & Glass Products",Rail,Export,30164.0,,
1994,Baja California,"Stone, Ceramic & Glass Products",Truck,Export,78553565.0,,
1994,Baja California,Textiles & Apparel,Other/Unknown,Export,191225.0,,
1994,Baja California,Textiles & Apparel,Rail,Export,266044.0,,
1994,Baja California,Textiles & Apparel,Truck,Export,301104245.0,,
1994,Baja California,Transportation Equipment,Mail (U.S. Postal Service),Export,61378.0,,
1994,Baja California,Transportation Equipment,Other/Unknown,Export,6435438.0,,
1994,Baja California,Transportation Equipment,Rail,Export,2155546.0,,
1994,Baja California,Transportation Equipment,Truck,Export,282660280.0,,
1994,Baja California,Vegetable Products,Mail (U.S. Postal Service),Export,17842.0,,
1994,Baja California,Vegetable Products,Other/Unknown,Export,381522.0,,
1994,Baja California,Vegetable Products,Rail,Export,9201664.0,,
1994,Baja California,Vegetable Products,Truck,Export,79613958.0,,
1994,Baja California,Wood & Wood Products,Other/Unknown,Export,348625.0,,
1994,Baja California,Wood & Wood Products,Rail,Export,2083812.0,,
1994,Baja California,Wood & Wood Products,Truck,Export,251803118.0,,
1994,Baja California,Works of Art & Antiques,Truck,Export,561735.0,,
1994,Baja California Sur,Animal or Vegetable Fats & Oils,Truck,Export,4419.0,,
1994,Baja California Sur,Base Metals & Articles,Other/Unknown,Export,5350.0,,
1994,Baja California Sur,Base Metals & Articles,Rail,Export,20119.0,,
1994,Baja California Sur,Base Metals & Articles,Truck,Export,5551113.0,,
1994,Baja California Sur,Chemical Products,Truck,Export,814776.0,,
1994,Baja California Sur,"Foodstuffs, Beverages & Tobacco",Rail,Export,540341.0,,
1994,Baja California Sur,"Foodstuffs, Beverages & Tobacco",Truck,Export,3241204.0,,
1994,Baja California Sur,"Footwear, Headgear & Umbrellas",Truck,Export,1189219.0,,
1994,Baja California Sur,Live Animals & Animal Products,Rail,Export,15008.0,,
1994,Baja California Sur,Live Animals & Animal Products,Truck,Export,8539203.0,,
1994,Baja California Sur,Machinery & Electrical Equipment,Other/Unknown,Export,9744.0,,
1994,Baja California Sur,Machinery & Electrical Equipment,Rail,Export,92502.0,,
1994,Baja California Sur,Machinery & Electrical Equipment,Truck,Export,21546081.0,,
1994,Baja California Sur,Mineral Products,Truck,Export,441750.0,,
1994,Baja California Sur,Miscellaneous Manufactured Articles,Truck,Export,4723247.0,,
1994,Baja California Sur,"Optical, Medical & Precision Instruments",Truck,Export,1310799.0,,
1994,Baja California Sur,Plastics & Rubber,Other/Unknown,Export,9343.0,,
1994,Baja California Sur,Plastics & Rubber,Rail,Export,31092.0,,
1994,Baja California Sur,Plastics & Rubber,Truck,Export,4350963.0,,
1994,Baja California Sur,Precious Metals & Stones,Truck,Export,23547.0,,
1994,Baja California Sur,"Pulp, Paper & Paperboard",Truck,Export,1020530.0,,
1994,Baja California Sur,"Raw Hides, Skins & Leather",Truck,Export,437383.0,,
1994,Baja California Sur,Special Classification Provisions,Other/Unknown,Export,2566.0,,
1994,Baja California Sur,Special Classification Provisions,Rail,Export,11353.0,,
1994,Baja California Sur,Special Classification Provisions,Truck,Export,1423672.0,,
1994,Baja California Sur,"Stone, Ceramic & Glass Products",Truck,Export,296346.0,,
1994,Baja California Sur,Textiles & Apparel,Other/Unknown,Export,55236.0,,
1994,Baja California Sur,Textiles & Apparel,Truck,Export,8525362.0,,
1994,Baja California Sur,Transportation Equipment,Rail,Export,7318.0,,
1994,Baja California Sur,Transportation Equipment,Truck,Export,3083084.0,,
1994,Baja California Sur,Vegetable Products,Other/Unknown,Export,10685.0,,
1994,Baja California Sur,Vegetable Products,Truck,Export,477386.0,,
1994,Baja California Sur,Wood & Wood Products,Truck,Export,1314857.0,,
1994,Campeche,Base Metals & Articles,Truck,Export,1994724.0,,
1994,Campeche,Chemical Products,Rail,Export,29520.0,,
1994,Campeche,Chemical Products,Truck,Export,1610141.0,,
1994,Campeche,"Foodstuffs, Beverages & Tobacco",Truck,Export,22860.0,,
1994,Campeche,Live Animals & Animal Products,Truck,Export,10420.0,,
1994,Campeche,Machinery & Electrical Equipment,Truck,Export,9017924.0,,
1994,Campeche,Mineral Products,Truck,Export,6598.0,,
1994,Campeche,Miscellaneous Manufactured Articles,Truck,Export,8288.0,,
1994,Campeche,"Optical, Medical & Precision Instruments",Truck,Export,46431.0,,
1994,Campeche,Plastics & Rubber,Truck,Export,3124.0,,
1994,Campeche,"Pulp, Paper & Paperboard",Truck,Export,114537.0,,
1994,Campeche,Special Classification Provisions,Rail,Export,9540.0,,
1994,Campeche,Special Classification Provisions,Truck,Export,122934.0,,
1994,Campeche,Textiles & Apparel,Truck,Export,46899.0,,
1994,Campeche,Transportation Equipment,Truck,Export,110596.0,,
1994,Campeche,Vegetable Products,Rail,Export,423498.0,,
1994,Campeche,Vegetable Products,Truck,Export,375512.0,,
1994,Chiapas,Base Metals & Articles,Truck,Export,201633.0,,
1994,Chiapas,Chemical Products,Rail,Export,30416.0,,
1994,Chiapas,Chemical Products,Truck,Export,823067.0,,
1994,Chiapas,"Foodstuffs, Beverages & Tobacco",Truck,Export,3042215.0,,
1994,Chiapas,"Footwear, Headgear & Umbrellas",Truck,Export,35297.0,,
1994,Chiapas,Live Animals & Animal Products,Truck,Export,970722.0,,
1994,Chiapas,Machinery & Electrical Equipment,Rail,Export,61200.0,,
1994,Chiapas,Machinery & Electrical Equipment,Truck,Export,6432379.0,,
1994,Chiapas,Mineral Products,Truck,Export,72913.0,,
1994,Chiapas,Miscellaneous Manufactured Articles,Truck,Export,211954.0,,
1994,Chiapas,"Optical, Medical & Precision Instruments",Rail,Export,5100.0,,
1994,Chiapas,"Optical, Medical & Precision Instruments",Truck,Export,405024.0,,
1994,Chiapas,Plastics & Rubber,Other/Unknown,Export,54898.0,,
1994,Chiapas,Plastics & Rubber,Truck,Export,2182215.0,,
1994,Chiapas,"Pulp, Paper & Paperboard",Other/Unknown,Export,101180.0,,
1994,Chiapas,"Pulp, Paper & Paperboard",Rail,Export,45622.0,,
1994,Chiapas,"Pulp, Paper & Paperboard",Truck,Export,15048373.0,,
1994,Chiapas,"Raw Hides, Skins & Leather",Truck,Export,14658.0,,
1994,Chiapas,Special Classification Provisions,Truck,Export,128994.0,,
1994,Chiapas,"Stone, Ceramic & Glass Products",Truck,Export,4443.0,,
1994,Chiapas,Textiles & Apparel,Truck,Export,236696.0,,
1994,Chiapas,Transportation Equipment,Truck,Export,469859.0,,
1994,Chiapas,Vegetable Products,Truck,Export,110121.0,,
1994,Chiapas,Wood & Wood Products,Truck,Export,32148.0,,
1994,Chihuahua,Animal or Vegetable Fats & Oils,Rail,Export,62686.0,,
1994,Chihuahua,Animal or Vegetable Fats & Oils,Truck,Export,15144832.0,,
1994,Chihuahua,Arms & Ammunition,Truck,Export,5700.0,,
1994,Chihuahua,Base Metals & Articles,Other/Unknown,Export,61905.0,,
1994,Chihuahua,Base Metals & Articles,Rail,Export,5062155.0,,
1994,Chihuahua,Base Metals & Articles,Truck,Export,697284885.0,,
1994,Chihuahua,Chemical Products,Rail,Export,3359698.0,,
1994,Chihuahua,Chemical Products,Truck,Export,98255266.0,,
1994,Chihuahua,"Foodstuffs, Beverages & Tobacco",Rail,Export,1465406.0,,
1994,Chihuahua,"Foodstuffs, Beverages & Tobacco",Truck,Export,64188457.0,,
1994,Chihuahua,"Footwear, Headgear & Umbrellas",Truck,Export,4649231.0,,
1994,Chihuahua,Live Animals & Animal Products,Rail,Export,615493.0,,
1994,Chihuahua,Live Animals & Animal Products,Truck,Export,170337814.0,,
1994,Chihuahua,Machinery & Electrical Equipment,Other/Unknown,Export,220540.0,,
1994,Chihuahua,Machinery & Electrical Equipment,Rail,Export,1292125.0,,
1994,Chihuahua,Machinery & Electrical Equipment,Truck,Export,5168563165.0,,
1994,Chihuahua,Mineral Products,Rail,Export,38366564.0,,
1994,Chihuahua,Mineral Products,Truck,Export,270810862.0,,
1994,Chihuahua,Miscellaneous Manufactured Articles,Rail,Export,294490.0,,
1994,Chihuahua,Miscellaneous Manufactured Articles,Truck,Export,479735395.0,,
1994,Chihuahua,"Optical, Medical & Precision Instruments",Other/Unknown,Export,5366.0,,
1994,Chihuahua,"Optical, Medical & Precision Instruments",Rail,Export,59560.0,,
1994,Chihuahua,"Optical, Medical & Precision Instruments",Truck,Export,526148049.0,,
1994,Chihuahua,Plastics & Rubber,Other/Unknown,Export,162638.0,,
1994,Chihuahua,Plastics & Rubber,Rail,Export,449031.0,,
1994,Chihuahua,Plastics & Rubber,Truck,Export,829621799.0,,
1994,Chihuahua,Precious Metals & Stones,Truck,Export,8907155.0,,
1994,Chihuahua,"Pulp, Paper & Paperboard",Other/Unknown,Export,7180.0,,
1994,Chihuahua,"Pulp, Paper & Paperboard",Rail,Export,13190757.0,,
1994,Chihuahua,"Pulp, Paper & Paperboard",Truck,Export,376829407.0,,
1994,Chihuahua,"Raw Hides, Skins & Leather",Rail,Export,22191.0,,
1994,Chihuahua,"Raw Hides, Skins & Leather",Truck,Export,103742660.0,,
1994,Chihuahua,Special Classification Provisions,Rail,Export,611185.0,,
1994,Chihuahua,Special Classification Provisions,Truck,Export,24925149.0,,
1994,Chihuahua,"Stone, Ceramic & Glass Products",Rail,Export,11207.0,,
1994,Chihuahua,"Stone, Ceramic & Glass Products",Truck,Export,102277407.0,,
1994,Chihuahua,Textiles & Apparel,Other/Unknown,Export,55919.0,,
1994,Chihuahua,Textiles & Apparel,Rail,Export,174776.0,,
1994,Chihuahua,Textiles & Apparel,Truck,Export,417276413.0,,
1994,Chihuahua,Transportation Equipment,Rail,Export,57556.0,,
1994,Chihuahua,Transportation Equipment,Truck,Export,154286212.0,,
1994,Chihuahua,Vegetable Products,Other/Unknown,Export,63448.0,,
1994,Chihuahua,Vegetable Products,Rail,Export,85132259.0,,
1994,Chihuahua,Vegetable Products,Truck,Export,66120874.0,,
1994,Chihuahua,Wood & Wood Products,Rail,Export,1386431.0,,
1994,Chihuahua,Wood & Wood Products,Truck,Export,70875408.0,,
1994,Chihuahua,Works of Art & Antiques,Truck,Export,37630.0,,
1994,Coahuila,Animal or Vegetable Fats & Oils,Rail,Export,9733.0,,
1994,Coahuila,Animal or Vegetable Fats & Oils,Truck,Export,674450.0,,
1994,Coahuila,Arms & Ammunition,Truck,Export,20450.0,,
1994,Coahuila,Base Metals & Articles,Other/Unknown,Export,524131.0,,
1994,Coahuila,Base Metals & Articles,Rail,Export,47380315.0,,
1994,Coahuila,Base Metals & Articles,Truck,Export,316400252.0,,
1994,Coahuila,Chemical Products,Other/Unknown,Export,390899.0,,
1994,Coahuila,Chemical Products,Rail,Export,2101456.0,,
1994,Coahuila,Chemical Products,Truck,Export,35021829.0,,
1994,Coahuila,"Foodstuffs, Beverages & Tobacco",Mail (U.S. Postal Service),Export,8784.0,,
1994,Coahuila,"Foodstuffs, Beverages & Tobacco",Other/Unknown,Export,50612.0,,
1994,Coahuila,"Foodstuffs, Beverages & Tobacco",Rail,Export,313222.0,,
1994,Coahuila,"Foodstuffs, Beverages & Tobacco",Truck,Export,9528152.0,,
1994,Coahuila,"Footwear, Headgear & Umbrellas",Other/Unknown,Export,223104.0,,
1994,Coahuila,"Footwear, Headgear & Umbrellas",Rail,Export,517805.0,,
1994,Coahuila,"Footwear, Headgear & Umbrellas",Truck,Export,31333915.0,,
1994,Coahuila,Live Animals & Animal Products,Rail,Export,419947.0,,
1994,Coahuila,Live Animals & Animal Products,Truck,Export,47832121.0,,
1994,Coahuila,Machinery & Electrical Equipment,Other/Unknown,Export,521099.0,,
1994,Coahuila,Machinery & Electrical Equipment,Rail,Export,218808523.0,,
1994,Coahuila,Machinery & Electrical Equipment,Truck,Export,688684837.0,,
1994,Coahuila,Mineral Products,Other/Unknown,Export,467766.0,,
1994,Coahuila,Mineral Products,Rail,Export,17559710.0,,
1994,Coahuila,Mineral Products,Truck,Export,8434412.0,,
1994,Coahuila,Miscellaneous Manufactured Articles,Other/Unknown,Export,99989.0,,
1994,Coahuila,Miscellaneous Manufactured Articles,Rail,Export,164438.0,,
1994,Coahuila,Miscellaneous Manufactured Articles,Truck,Export,69332412.0,,
1994,Coahuila,"Optical, Medical & Precision Instruments",Other/Unknown,Export,67875.0,,
1994,Coahuila,"Optical, Medical & Precision Instruments",Rail,Export,10080142.0,,
1994,Coahuila,"Optical, Medical & Precision Instruments",Truck,Export,20577268.0,,
1994,Coahuila,Plastics & Rubber,Other/Unknown,Export,101527.0,,
1994,Coahuila,Plastics & Rubber,Rail,Export,14122678.0,,
1994,Coahuila,Plastics & Rubber,Truck,Export,117360266.0,,
1994,Coahuila,Precious Metals & Stones,Truck,Export,454612.0,,
1994,Coahuila,"Pulp, Paper & Paperboard",Other/Unknown,Export,10085.0,,
1994,Coahuila,"Pulp, Paper & Paperboard",Rail,Export,573716.0,,
1994,Coahuila,"Pulp, Paper & Paperboard",Truck,Export,33698130.0,,
1994,Coahuila,"Raw Hides, Skins & Leather",Rail,Export,3500.0,,
1994,Coahuila,"Raw Hides, Skins & Leather",Truck,Export,3607258.0,,
1994,Coahuila,Special Classification Provisions,Other/Unknown,Export,12385.0,,
1994,Coahuila,Special Classification Provisions,Rail,Export,68981.0,,
1994,Coahuila,Special Classification Provisions,Truck,Export,10002453.0,,
1994,Coahuila,"Stone, Ceramic & Glass Products",Other/Unknown,Export,65290.0,,
1994,Coahuila,"Stone, Ceramic & Glass Products",Rail,Export,3937152.0,,
1994,Coahuila,"Stone, Ceramic & Glass Products",Truck,Export,16217612.0,,
1994,Coahuila,Textiles & Apparel,Other/Unknown,Export,186939.0,,
1994,Coahuila,Textiles & Apparel,Rail,Export,53859974.0,,
1994,Coahuila,Textiles & Apparel,Truck,Export,432357565.0,,
1994,Coahuila,Transportation Equipment,Other/Unknown,Export,87688.0,,
1994,Coahuila,Transportation Equipment,Rail,Export,919821226.0,,
1994,Coahuila,Transportation Equipment,Truck,Export,72989666.0,,
1994,Coahuila,Vegetable Products,Other/Unknown,Export,277515.0,,
1994,Coahuila,Vegetable Products,Rail,Export,11211218.0,,
1994,Coahuila,Vegetable Products,Truck,Export,12321412.0,,
1994,Coahuila,Wood & Wood Products,Other/Unknown,Export,3500.0,,
1994,Coahuila,Wood & Wood Products,Rail,Export,1964141.0,,
1994,Coahuila,Wood & Wood Products,Truck,Export,7691421.0,,
1994,Coahuila,Works of Art & Antiques,Truck,Export,21445.0,,
1994,Colima,Animal or Vegetable Fats & Oils,Rail,Export,1479299.0,,
1994,Colima,Animal or Vegetable Fats & Oils,Truck,Export,199699.0,,
1994,Colima,Base Metals & Articles,Rail,Export,741198.0,,
1994,Colima,Base Metals & Articles,Truck,Export,6113840.0,,
1994,Colima,Chemical Products,Rail,Export,1050310.0,,
1994,Colima,Chemical Products,Truck,Export,9600613.0,,
1994,Colima,"Foodstuffs, Beverages & Tobacco",Other/Unknown,Export,5177.0,,
1994,Colima,"Foodstuffs, Beverages & Tobacco",Rail,Export,1538150.0,,
1994,Colima,"Foodstuffs, Beverages & Tobacco",Truck,Export,8865522.0,,
1994,Colima,"Footwear, Headgear & Umbrellas",Truck,Export,291602.0,,
1994,Colima,Live Animals & Animal Products,Rail,Export,201123.0,,
1994,Colima,Live Animals & Animal Products,Truck,Export,7404326.0,,
1994,Colima,Machinery & Electrical Equipment,Rail,Export,1522146.0,,
1994,Colima,Machinery & Electrical Equipment,Truck,Export,58412061.0,,
1994,Colima,Mineral Products,Rail,Export,706681.0,,
1994,Colima,Mineral Products,Truck,Export,251160.0,,
1994,Colima,Miscellaneous Manufactured Articles,Rail,Export,42441.0,,
1994,Colima,Miscellaneous Manufactured Articles,Truck,Export,7657753.0,,
1994,Colima,"Optical, Medical & Precision Instruments",Truck,Export,2080620.0,,
1994,Colima,Plastics & Rubber,Rail,Export,483179.0,,
1994,Colima,Plastics & Rubber,Truck,Export,12880052.0,,
1994,Colima,Precious Metals & Stones,Truck,Export,212960.0,,
1994,Colima,"Pulp, Paper & Paperboard",Rail,Export,4990660.0,,
1994,Colima,"Pulp, Paper & Paperboard",Truck,Export,11070320.0,,
1994,Colima,"Raw Hides, Skins & Leather",Truck,Export,579808.0,,
1994,Colima,Special Classification Provisions,Rail,Export,3876.0,,
1994,Colima,Special Classification Provisions,Truck,Export,623936.0,,
1994,Colima,"Stone, Ceramic & Glass Products",Rail,Export,34078.0,,
1994,Colima,"Stone, Ceramic & Glass Products",Truck,Export,1286259.0,,
1994,Colima,Textiles & Apparel,Rail,Export,290047.0,,
1994,Colima,Textiles & Apparel,Truck,Export,11953284.0,,
1994,Colima,Transportation Equipment,Rail,Export,344562.0,,
1994,Colima,Transportation Equipment,Truck,Export,3914021.0,,
1994,Colima,Vegetable Products,Other/Unknown,Export,111432.0,,
1994,Colima,Vegetable Products,Rail,Export,3590457.0,,
1994,Colima,Vegetable Products,Truck,Export,1666213.0,,
1994,Colima,Wood & Wood Products,Truck,Export,911495.0,,
1994,Distrito Federal,Animal or Vegetable Fats & Oils,Other/Unknown,Export,45712.0,,
1994,Distrito Federal,Animal or Vegetable Fats & Oils,Rail,Export,53405055.0,,
1994,Distrito Federal,Animal or Vegetable Fats & Oils,Truck,Export,33670144.0,,
1994,Distrito Federal,Arms & Ammunition,Rail,Export,245000.0,,
1994,Distrito Federal,Arms & Ammunition,Truck,Export,12425402.0,,
1994,Distrito Federal,Base Metals & Articles,Other/Unknown,Export,280924.0,,
1994,Distrito Federal,Base Metals & Articles,Rail,Export,72652170.0,,
1994,Distrito Federal,Base Metals & Articles,Truck,Export,393947683.0,,
1994,Distrito Federal,Chemical Products,Other/Unknown,Export,3212617.0,,
1994,Distrito Federal,Chemical Products,Rail,Export,114607518.0,,
1994,Distrito Federal,Chemical Products,Truck,Export,874139679.0,,
1994,Distrito Federal,"Foodstuffs, Beverages & Tobacco",Other/Unknown,Export,12634.0,,
1994,Distrito Federal,"Foodstuffs, Beverages & Tobacco",Rail,Export,31103943.0,,
1994,Distrito Federal,"Foodstuffs, Beverages & Tobacco",Truck,Export,385842361.0,,
1994,Distrito Federal,"Footwear, Headgear & Umbrellas",Other/Unknown,Export,93775.0,,
1994,Distrito Federal,"Footwear, Headgear & Umbrellas",Rail,Export,42891.0,,
1994,Distrito Federal,"Footwear, Headgear & Umbrellas",Truck,Export,31156594.0,,
1994,Distrito Federal,Live Animals & Animal Products,Rail,Export,14032434.0,,
1994,Distrito Federal,Live Animals & Animal Products,Truck,Export,201245048.0,,
1994,Distrito Federal,Machinery & Electrical Equipment,Mail (U.S. Postal Service),Export,100130.0,,
1994,Distrito Federal,Machinery & Electrical Equipment,Other/Unknown,Export,1704632.0,,
1994,Distrito Federal,Machinery & Electrical Equipment,Rail,Export,41032709.0,,
1994,Distrito Federal,Machinery & Electrical Equipment,Truck,Export,3139387298.0,,
1994,Distrito Federal,Mineral Products,Other/Unknown,Export,573452.0,,
1994,Distrito Federal,Mineral Products,Rail,Export,24292995.0,,
1994,Distrito Federal,Mineral Products,Truck,Export,125236155.0,,
1994,Distrito Federal,Miscellaneous Manufactured Articles,Rail,Export,1730247.0,,
1994,Distrito Federal,Miscellaneous Manufactured Articles,Truck,Export,522583110.0,,
1994,Distrito Federal,"Optical, Medical & Precision Instruments",Other/Unknown,Export,102762.0,,
1994,Distrito Federal,"Optical, Medical & Precision Instruments",Rail,Export,3492119.0,,
1994,Distrito Federal,"Optical, Medical & Precision Instruments",Truck,Export,344619815.0,,
1994,Distrito Federal,Plastics & Rubber,Other/Unknown,Export,512797.0,,
1994,Distrito Federal,Plastics & Rubber,Rail,Export,50455347.0,,
1994,Distrito Federal,Plastics & Rubber,Truck,Export,845649954.0,,
1994,Distrito Federal,Precious Metals & Stones,Other/Unknown,Export,13500.0,,
1994,Distrito Federal,Precious Metals & Stones,Truck,Export,7261983.0,,
1994,Distrito Federal,"Pulp, Paper & Paperboard",Other/Unknown,Export,1983525.0,,
1994,Distrito Federal,"Pulp, Paper & Paperboard",Rail,Export,315631509.0,,
1994,Distrito Federal,"Pulp, Paper & Paperboard",Truck,Export,582688743.0,,
1994,Distrito Federal,"Raw Hides, Skins & Leather",Other/Unknown,Export,33347.0,,
1994,Distrito Federal,"Raw Hides, Skins & Leather",Rail,Export,454835.0,,
1994,Distrito Federal,"Raw Hides, Skins & Leather",Truck,Export,25776733.0,,
1994,Distrito Federal,Special Classification Provisions,Other/Unknown,Export,545139.0,,
1994,Distrito Federal,Special Classification Provisions,Rail,Export,3435287.0,,
1994,Distrito Federal,Special Classification Provisions,Truck,Export,55278317.0,,
1994,Distrito Federal,"Stone, Ceramic & Glass Products",Other/Unknown,Export,186111.0,,
1994,Distrito Federal,"Stone, Ceramic & Glass Products",Rail,Export,2555946.0,,
1994,Distrito Federal,"Stone, Ceramic & Glass Products",Truck,Export,78392475.0,,
